Course,Course Name,Credits,Instructor,Room,Days,Date,Start Time,End Time,Max Enrollment,Total Enrollment
ENG210Lec3,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,T,Weekly,9:00:00 AM,10:59:00 AM,24,19
ENG210Lec3,Computer Architecture,4,"Kaur, Kuljeet",MGT-204,W,Weekly,6:00:00 PM,8:59:00 PM,24,19
ENG210Lec4,Computer Architecture,4,"Seyam, Ahmed",HUB-117 Software Lab,M,Weekly,1:00:00 PM,2:59:00 PM,24,25
ENG210Lec4,Computer Architecture,4,"Kaur, Kuljeet",MGT-204,W,Weekly,6:00:00 PM,8:59:00 PM,24,25
ENG210LecEE5,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,M,Weekly,3:00:00 PM,4:59:00 PM,24,24
ENG210LecEE5,Computer Architecture,4,"Kaur, Kuljeet",MGT-106,R,Weekly,3:00:00 PM,5:59:00 PM,24,24
ENG222Lec1,Engineering Electromagnetics,3,"Hamza, Djilali",MGT-106,T,Weekly,12:00:00 PM,1:59:00 PM,20,20
ENG222Lec1,Engineering Electromagnetics,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,Weekly,3:00:00 PM,4:59:00 PM,20,20
ENG222Lec2,Engineering Electromagnetics,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,M,Weekly,11:00:00 AM,12:59:00 PM,11,12
ENG222Lec2,Engineering Electromagnetics,3,"Hamza, Djilali",MGT-106,T,Weekly,12:00:00 PM,1:59:00 PM,11,12
ENG223Lec1,Electric Circuit 2,3,"Hamza, Djilali",MGT-107,T,Weekly,4:00:00 PM,5:59:00 PM,18,7
ENG223Lec1,Electric Circuit 2,3,"Hamza, Djilali",HUB-116 Electronic Lab,W,Weekly,11:00:00 AM,12:59:00 PM,18,7
ENG223Lec2,Electric Circuit 2,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,M,Weekly,9:00:00 AM,10:59:00 AM,18,14
ENG223Lec2,Electric Circuit 2,3,"Hamza, Djilali",MGT-107,T,Weekly,4:00:00 PM,5:59:00 PM,18,14
ENG310LecEE1,Electronics 1,3,"El Khatib, Ziad",MGT-102,M,Weekly,5:00:00 PM,6:59:00 PM,19,18
ENG310LecEE1,Electronics 1,3,"El Khatib, Ziad",HUB-116 Electronic Lab,W,Weekly,7:00:00 PM,8:59:00 PM,19,18
ENG310LecEE2,Electronics 1,3,"El Khatib, Ziad",MGT-102,M,Weekly,5:00:00 PM,6:59:00 PM,20,4
ENG310LecEE2,Electronics 1,3,"Yousefi, Adel",HUB-104 Mechatronics Lab,R,Weekly,10:30:00 AM,12:29:00 PM,20,4
ENG314Lec1,Electric Machines,3,"Hamza, Djilali",MGT-207,M,Weekly,6:00:00 PM,7:29:00 PM,35,31
ENG314Lec1,Electric Machines,3,"Hamza, Djilali",MGT-103,R,Weekly,10:30:00 AM,11:59:00 AM,35,31
ENG315Lec1,Control Systems,3,"Hamza, Djilali",MGT-207,M,Weekly,3:00:00 PM,5:59:00 PM,35,26
ENG401PrjCNET,Graduation Project 2,2,"Moussa, Sherif",,N\A,Weekly,12:00:00 AM,12:00:00 AM,12,5
ENG401PrjEE,Graduation Project 2,2,"Majeed, Salih",,N\A,Weekly,12:00:00 AM,12:00:00 AM,10,17
LNG181Lec1,English I For Engineering & Computing,3,"Ahmad, Sadaf",MGT-211,MW,Weekly,4:30:00 PM,5:59:00 PM,30,30
LNG181Lec2,English I For Engineering & Computing,3,"Cormick, Eamonn",MGT-206,MW,Weekly,4:30:00 PM,5:59:00 PM,30,30
LNG182Lec1,English II For Engineering & Computing,3,"Masri, Taghreed",MGT-103,MW,Weekly,4:30:00 PM,5:59:00 PM,30,32
LNG182Lec2,English II For Engineering & Computing,3,"Ben Seddik, Leila",MGT-103,TR,Weekly,7:30:00 PM,8:59:00 PM,30,34
LNG182Lec3,English II For Engineering & Computing,3,"McClung, Robert John",MGT-103,MW,Weekly,3:00:00 PM,4:29:00 PM,30,36
LNG182Lec4,English II For Engineering & Computing,3,"Albash, Farah",MGT-211,T,Weekly,1:30:00 PM,2:59:00 PM,30,31
LNG182Lec4,English II For Engineering & Computing,3,"Albash, Farah",MGT-211,W,Weekly,9:00:00 AM,10:29:00 AM,30,31
MEC310Lec1,Mechatronics Engineering,3,"Majeed, Salih",MGT-209,T,Weekly,6:00:00 PM,8:59:00 PM,35,32
MEC421Lec1,Robotics,3,"El Khatib, Ziad",HUB-115 Networking Lab,R,Weekly,3:00:00 PM,4:59:00 PM,24,18
MEC421Lec1,Robotics,3,"El Khatib, Ziad",HUB-104 Mechatronics Lab,R,Weekly,5:00:00 PM,6:59:00 PM,24,18
MEC422Lec1,Mechatronics Systems Design,3,"Majeed, Salih",HUB-104 Mechatronics Lab,T,Weekly,2:00:00 PM,3:59:00 PM,21,19
MEC422Lec1,Mechatronics Systems Design,3,"Majeed, Salih",HUB-104 Mechatronics Lab,W,Weekly,5:00:00 PM,6:59:00 PM,21,19
MEC427Lec1,Computer Integrated Manufacturing (CIM),3,"Majeed, Salih",HUB-104 Mechatronics Lab,W,Weekly,7:00:00 PM,8:59:00 PM,21,19
MEC427Lec1,Computer Integrated Manufacturing (CIM),3,"Majeed, Salih",HUB-104 Mechatronics Lab,R,Weekly,7:00:00 PM,8:59:00 PM,21,19
MTH112Lec1,Calculus 1,3,"Yousefi, Adel",MGT-209,M,Weekly,2:00:00 PM,2:59:00 PM,40,41
MTH112Lec1,Calculus 1,3,"Makki, Ahmed",MGT-203,MW,Weekly,3:00:00 PM,4:29:00 PM,40,41
MTH112Lec2,Calculus 1,3,"Sadek, Zeyad Remah",MGT-107,T,Weekly,3:00:00 PM,3:59:00 PM,40,41
MTH112Lec2,Calculus 1,3,"Makki, Ahmed",MGT-203,TR,Weekly,4:30:00 PM,5:59:00 PM,40,41
MTH113Lec1,Calculus 2,3,"El Sayed, Ahmed Abdelaziz",MGT-203,MW,Weekly,12:00:00 PM,1:29:00 PM,35,30
MTH113Lec2,Calculus 2,3,"El Sayed, Ahmed Abdelaziz",MGT-203,TR,Weekly,3:00:00 PM,4:29:00 PM,40,38
MTH113Lec3,Calculus 2,3,"El Sayed, Ahmed Abdelaziz",MGT-203,MW,Weekly,4:30:00 PM,5:59:00 PM,40,40
MTH120Lec1,Discrete Mathematics 1,3,"El Sayed, Ahmed Abdelaziz",MGT-101,M,Weekly,1:30:00 PM,2:59:00 PM,40,42
MTH120Lec1,Discrete Mathematics 1,3,"El Sayed, Ahmed Abdelaziz",MGT-204,W,Weekly,1:30:00 PM,2:59:00 PM,40,42
MTH120Lec2,Discrete Mathematics 1,3,"Rani, Rashmi",MGT-203,T,Weekly,12:00:00 PM,1:29:00 PM,40,25
MTH120Lec2,Discrete Mathematics 1,3,"Rani, Rashmi",MGT-203,R,Weekly,9:00:00 AM,10:29:00 AM,40,25
MTH120Lec3,Discrete Mathematics,3,"Rani, Rashmi",MGT-203,T,Weekly,1:30:00 PM,2:59:00 PM,40,40
MTH120Lec3,Discrete Mathematics,3,"Rani, Rashmi",MGT-203,R,Weekly,10:30:00 AM,11:59:00 AM,40,40
MTH220Lec1,Ordinary Differential Equations,3,"Kamalov, Firuz",HUB-114,TW,Weekly,9:00:00 AM,10:29:00 AM,40,29
NET110Lec1,Computer Network Fundamentals,3,"Kaur, Kuljeet",MGT-102,M,Weekly,3:00:00 PM,4:59:00 PM,20,20
